TEAM_NAME,GAME_DATE,MATCHUP,PTS,FG3M,REB,AST,BLK
Oklahoma City Thunder,2025-06-22T00:00:00,OKC vs. IND,103,11,40,20,8
Indiana Pacers,2025-06-22T00:00:00,IND @ OKC,91,11,45,17,4
Indiana Pacers,2025-06-19T00:00:00,IND vs. OKC,108,15,46,23,5
Oklahoma City Thunder,2025-06-19T00:00:00,OKC @ IND,91,8,41,14,4
Oklahoma City Thunder,2025-06-16T00:00:00,OKC vs. IND,120,14,45,24,12
Indiana Pacers,2025-06-16T00:00:00,IND @ OKC,109,11,50,23,4
Oklahoma City Thunder,2025-06-13T00:00:00,OKC @ IND,111,3,43,11,3
Indiana Pacers,2025-06-13T00:00:00,IND vs. OKC,104,11,33,21,3
Indiana Pacers,2025-06-11T00:00:00,IND vs. OKC,116,9,36,24,11
Oklahoma City Thunder,2025-06-11T00:00:00,OKC @ IND,107,10,42,16,4
Oklahoma City Thunder,2025-06-08T00:00:00,OKC vs. IND,123,14,43,25,4
Indiana Pacers,2025-06-08T00:00:00,IND @ OKC,107,14,35,27,6
Indiana Pacers,2025-06-05T00:00:00,IND @ OKC,111,18,56,24,7
Oklahoma City Thunder,2025-06-05T00:00:00,OKC vs. IND,110,11,39,13,6
Indiana Pacers,2025-05-31T00:00:00,IND vs. NYK,125,17,36,30,9
New York Knicks,2025-05-31T00:00:00,NYK @ IND,108,9,41,23,6
New York Knicks,2025-05-29T00:00:00,NYK vs. IND,111,8,45,22,3
Indiana Pacers,2025-05-29T00:00:00,IND @ NYK,94,10,40,20,7
Oklahoma City Thunder,2025-05-28T00:00:00,OKC vs. MIN,124,14,46,26,8
Minnesota Timberwolves,2025-05-28T00:00:00,MIN @ OKC,94,12,39,16,6
Indiana Pacers,2025-05-27T00:00:00,IND vs. NYK,130,13,33,29,4
New York Knicks,2025-05-27T00:00:00,NYK @ IND,121,12,44,17,4
Oklahoma City Thunder,2025-05-26T00:00:00,OKC @ MIN,128,16,36,22,5
Minnesota Timberwolves,2025-05-26T00:00:00,MIN vs. OKC,126,18,41,30,3
New York Knicks,2025-05-25T00:00:00,NYK @ IND,106,11,37,13,4
Indiana Pacers,2025-05-25T00:00:00,IND vs. NYK,100,5,38,21,4
Minnesota Timberwolves,2025-05-24T00:00:00,MIN vs. OKC,143,20,50,30,3
Oklahoma City Thunder,2025-05-24T00:00:00,OKC @ MIN,101,14,31,19,3
Indiana Pacers,2025-05-23T00:00:00,IND @ NYK,114,13,32,26,3
New York Knicks,2025-05-23T00:00:00,NYK vs. IND,109,11,38,18,4
Oklahoma City Thunder,2025-05-22T00:00:00,OKC vs. MIN,118,9,42,30,3
Minnesota Timberwolves,2025-05-22T00:00:00,MIN @ OKC,103,11,41,20,7
Indiana Pacers,2025-05-21T00:00:00,IND @ NYK,138,15,39,26,3
New York Knicks,2025-05-21T00:00:00,NYK vs. IND,135,11,46,24,8
Oklahoma City Thunder,2025-05-20T00:00:00,OKC vs. MIN,114,11,46,27,3
Minnesota Timberwolves,2025-05-20T00:00:00,MIN @ OKC,88,15,42,18,7
Oklahoma City Thunder,2025-05-18T00:00:00,OKC vs. DEN,125,12,44,28,3
Denver Nuggets,2025-05-18T00:00:00,DEN @ OKC,93,10,47,20,2
New York Knicks,2025-05-16T00:00:00,NYK vs. BOS,119,16,55,25,6
Boston Celtics,2025-05-16T00:00:00,BOS @ NYK,81,12,36,19,3
Denver Nuggets,2025-05-15T00:00:00,DEN vs. OKC,119,12,52,27,6
Oklahoma City Thunder,2025-05-15T00:00:00,OKC @ DEN,107,11,40,25,4
Boston Celtics,2025-05-14T00:00:00,BOS vs. NYK,127,22,44,27,12
Minnesota Timberwolves,2025-05-14T00:00:00,MIN vs. GSW,121,13,39,36,4
Golden State Warriors,2025-05-14T00:00:00,GSW @ MIN,110,11,40,21,1
New York Knicks,2025-05-14T00:00:00,NYK @ BOS,102,12,40,17,4
Indiana Pacers,2025-05-13T00:00:00,IND @ CLE,114,15,47,26,8
Oklahoma City Thunder,2025-05-13T00:00:00,OKC vs. DEN,112,12,43,23,6
Denver Nuggets,2025-05-13T00:00:00,DEN @ OKC,105,13,49,20,3
Cleveland Cavaliers,2025-05-13T00:00:00,CLE vs. IND,105,9,46,10,3
New York Knicks,2025-05-12T00:00:00,NYK vs. BOS,121,12,43,25,2
Minnesota Timberwolves,2025-05-12T00:00:00,MIN @ GSW,117,16,38,22,5
Golden State Warriors,2025-05-12T00:00:00,GSW vs. MIN,110,8,38,18,1
Boston Celtics,2025-05-12T00:00:00,BOS @ NYK,113,18,31,15,2
Indiana Pacers,2025-05-11T00:00:00,IND vs. CLE,129,15,37,37,2
Oklahoma City Thunder,2025-05-11T00:00:00,OKC @ DEN,92,10,55,20,2
Denver Nuggets,2025-05-11T00:00:00,DEN vs. OKC,87,11,49,17,3
Cleveland Cavaliers,2025-05-11T00:00:00,CLE @ IND,109,14,41,20,4
Boston Celtics,2025-05-10T00:00:00,BOS @ NYK,115,20,42,23,8
Minnesota Timberwolves,2025-05-10T00:00:00,MIN @ GSW,102,13,44,28,7
Golden State Warriors,2025-05-10T00:00:00,GSW vs. MIN,97,10,36,21,7
New York Knicks,2025-05-10T00:00:00,NYK vs. BOS,93,5,43,16,2
Cleveland Cavaliers,2025-05-09T00:00:00,CLE @ IND,126,14,56,24,7
Denver Nuggets,2025-05-09T00:00:00,DEN vs. OKC,113,16,49,25,7
Oklahoma City Thunder,2025-05-09T00:00:00,OKC @ DEN,104,9,54,24,6
Indiana Pacers,2025-05-09T00:00:00,IND vs. CLE,104,9,37,26,8
Minnesota Timberwolves,2025-05-08T00:00:00,MIN vs. GSW,117,16,39,33,5
Golden State Warriors,2025-05-08T00:00:00,GSW @ MIN,93,9,42,23,2
Oklahoma City Thunder,2025-05-07T00:00:00,OKC vs. DEN,149,16,44,31,8
New York Knicks,2025-05-07T00:00:00,NYK @ BOS,91,9,46,19,5
Boston Celtics,2025-05-07T00:00:00,BOS vs. NYK,90,10,51,17,5
Denver Nuggets,2025-05-07T00:00:00,DEN @ OKC,106,15,38,18,6
Golden State Warriors,2025-05-06T00:00:00,GSW @ MIN,99,18,51,26,2
Indiana Pacers,2025-05-06T00:00:00,IND @ CLE,120,11,44,28,9
Cleveland Cavaliers,2025-05-06T00:00:00,CLE vs. IND,119,11,43,24,5
Minnesota Timberwolves,2025-05-06T00:00:00,MIN vs. GSW,88,5,41,19,6
New York Knicks,2025-05-05T00:00:00,NYK @ BOS,108,17,49,19,2
Denver Nuggets,2025-05-05T00:00:00,DEN @ OKC,121,10,63,18,5
Oklahoma City Thunder,2025-05-05T00:00:00,OKC vs. DEN,119,15,43,27,11
Boston Celtics,2025-05-05T00:00:00,BOS vs. NYK,105,15,59,18,5
Golden State Warriors,2025-05-04T00:00:00,GSW @ HOU,103,18,38,24,8
Indiana Pacers,2025-05-04T00:00:00,IND @ CLE,121,19,43,30,9
Cleveland Cavaliers,2025-05-04T00:00:00,CLE vs. IND,112,9,43,25,1
Houston Rockets,2025-05-04T00:00:00,HOU vs. GSW,89,6,52,14,5
Denver Nuggets,2025-05-03T00:00:00,DEN vs. LAC,120,11,46,24,4
LA Clippers,2025-05-03T00:00:00,LAC @ DEN,101,8,36,30,9
Houston Rockets,2025-05-02T00:00:00,HOU @ GSW,115,12,46,23,5
Golden State Warriors,2025-05-02T00:00:00,GSW vs. HOU,107,15,42,26,6
LA Clippers,2025-05-01T00:00:00,LAC vs. DEN,111,12,35,23,9
New York Knicks,2025-05-01T00:00:00,NYK @ DET,116,10,43,18,4
Detroit Pistons,2025-05-01T00:00:00,DET vs. NYK,113,9,36,25,3
Denver Nuggets,2025-05-01T00:00:00,DEN @ LAC,105,11,39,24,7
Houston Rockets,2025-04-30T00:00:00,HOU vs. GSW,131,13,39,23,7
Minnesota Timberwolves,2025-04-30T00:00:00,MIN @ LAL,103,7,54,25,5
Los Angeles Lakers,2025-04-30T00:00:00,LAL vs. MIN,96,11,37,24,1
Golden State Warriors,2025-04-30T00:00:00,GSW @ HOU,116,15,49,25,5
Boston Celtics,2025-04-29T00:00:00,BOS vs. ORL,120,13,38,30,3
Denver Nuggets,2025-04-29T00:00:00,DEN vs. LAC,131,17,38,29,7
Detroit Pistons,2025-04-29T00:00:00,DET @ NYK,106,8,45,21,9
Indiana Pacers,2025-04-29T00:00:00,IND vs. MIL,119,12,45,24,4
Milwaukee Bucks,2025-04-29T00:00:00,MIL @ IND,118,19,53,25,4
New York Knicks,2025-04-29T00:00:00,NYK vs. DET,103,9,49,19,10
LA Clippers,2025-04-29T00:00:00,LAC @ DEN,115,11,38,29,8
Orlando Magic,2025-04-29T00:00:00,ORL @ BOS,89,8,44,19,2
Cleveland Cavaliers,2025-04-28T00:00:00,CLE @ MIA,138,22,51,26,6
Golden State Warriors,2025-04-28T00:00:00,GSW vs. HOU,109,17,34,27,2
