minute_bin,GAME_ID,pts_scored,pts_received
1,22400617,5,3
2,22400617,0,2
3,22400617,2,2
4,22400617,4,4
5,22400617,7,0
6,22400617,0,2
7,22400617,2,4
8,22400617,0,0
9,22400617,3,2
10,22400617,2,4
11,22400617,0,4
12,22400617,3,4
13,22400617,3,2
14,22400617,6,0
15,22400617,0,0
16,22400617,2,0
17,22400617,0,2
18,22400617,2,3
19,22400617,2,2
20,22400617,3,2
21,22400617,1,4
22,22400617,2,4
23,22400617,4,3
24,22400617,5,0
25,22400617,0,5
26,22400617,1,3
27,22400617,4,2
28,22400617,3,3
29,22400617,0,5
30,22400617,1,0
31,22400617,2,0
32,22400617,2,3
33,22400617,3,0
34,22400617,5,1
35,22400617,2,0
36,22400617,0,3
37,22400617,2,3
38,22400617,2,2
39,22400617,3,3
40,22400617,0,5
41,22400617,4,0
42,22400617,4,0
43,22400617,5,0
44,22400617,0,4
45,22400617,4,2
46,22400617,1,2
47,22400617,4,2
48,22400617,1,6
1,22401070,4,0
2,22401070,2,4
3,22401070,2,4
4,22401070,0,2
5,22401070,0,2
6,22401070,0,3
7,22401070,2,2
8,22401070,3,3
9,22401070,4,0
10,22401070,2,0
11,22401070,0,5
12,22401070,0,0
13,22401070,2,2
14,22401070,2,6
15,22401070,2,3
16,22401070,3,4
17,22401070,2,5
18,22401070,3,0
19,22401070,0,5
20,22401070,2,0
21,22401070,3,2
22,22401070,2,4
23,22401070,5,0
24,22401070,4,4
25,22401070,0,2
26,22401070,2,0
27,22401070,0,2
28,22401070,4,0
29,22401070,5,0
30,22401070,2,3
31,22401070,3,4
32,22401070,1,2
33,22401070,0,3
34,22401070,3,3
35,22401070,4,0
36,22401070,0,2
37,22401070,0,2
38,22401070,4,5
39,22401070,3,5
40,22401070,2,6
41,22401070,5,2
42,22401070,2,2
43,22401070,0,2
44,22401070,5,0
45,22401070,0,4
46,22401070,5,0
47,22401070,2,5
48,22401070,6,2
1,22401083,3,3
2,22401083,2,3
3,22401083,6,5
4,22401083,3,4
5,22401083,0,4
6,22401083,5,3
7,22401083,2,0
8,22401083,4,2
9,22401083,4,2
10,22401083,5,8
11,22401083,4,0
12,22401083,6,3
13,22401083,5,4
14,22401083,4,7
15,22401083,3,3
16,22401083,2,6
17,22401083,5,4
18,22401083,2,4
19,22401083,0,5
20,22401083,3,2
21,22401083,2,3
22,22401083,3,2
23,22401083,2,5
24,22401083,1,0
25,22401083,0,2
26,22401083,0,7
27,22401083,1,2
28,22401083,2,3
29,22401083,2,3
30,22401083,1,2
31,22401083,2,3
32,22401083,1,0
33,22401083,0,6
34,22401083,2,4
35,22401083,5,0
36,22401083,0,4
37,22401083,6,2
38,22401083,3,4
39,22401083,3,0
40,22401083,4,5
41,22401083,2,2
42,22401083,5,0
43,22401083,4,2
44,22401083,2,2
45,22401083,2,4
46,22401083,1,3
47,22401083,0,3
48,22401083,0,0
1,22401101,6,2
2,22401101,4,3
3,22401101,3,0
4,22401101,2,3
5,22401101,5,0
6,22401101,3,1
7,22401101,0,2
8,22401101,2,2
9,22401101,0,0
10,22401101,0,2
11,22401101,2,0
12,22401101,4,4
13,22401101,0,3
14,22401101,6,7
15,22401101,4,0
16,22401101,0,5
17,22401101,4,3
18,22401101,2,3
19,22401101,0,4
20,22401101,3,4
21,22401101,2,5
22,22401101,4,0
23,22401101,4,0
24,22401101,0,4
25,22401101,0,4
26,22401101,3,2
27,22401101,7,0
28,22401101,2,2
29,22401101,5,0
30,22401101,4,0
31,22401101,2,0
32,22401101,2,4
33,22401101,5,2
34,22401101,3,3
35,22401101,0,5
36,22401101,2,4
37,22401101,2,0
38,22401101,2,6
39,22401101,0,0
40,22401101,5,3
41,22401101,3,5
42,22401101,2,6
43,22401101,5,4
44,22401101,3,1
45,22401101,3,5
46,22401101,2,4
47,22401101,5,3
48,22401101,6,3
1,22401115,0,0
2,22401115,0,5
3,22401115,3,6
4,22401115,5,6
5,22401115,3,2
6,22401115,4,5
7,22401115,5,2
8,22401115,2,3
9,22401115,0,2
10,22401115,0,4
11,22401115,0,2
12,22401115,3,2
13,22401115,5,0
14,22401115,5,0
15,22401115,0,0
16,22401115,7,2
17,22401115,2,0
18,22401115,3,4
19,22401115,2,4
20,22401115,3,0
21,22401115,2,4
22,22401115,3,0
23,22401115,0,6
24,22401115,4,0
25,22401115,3,3
26,22401115,2,2
27,22401115,2,2
28,22401115,5,0
29,22401115,3,3
30,22401115,1,4
31,22401115,3,5
32,22401115,2,2
33,22401115,2,2
34,22401115,1,3
35,22401115,6,0
36,22401115,5,2
37,22401115,0,2
38,22401115,4,5
39,22401115,2,0
40,22401115,5,2
41,22401115,2,0
42,22401115,3,0
43,22401115,5,3
44,22401115,0,2
45,22401115,2,5
46,22401115,5,2
47,22401115,2,3
48,22401115,0,2
1,22401131,3,0
2,22401131,0,2
3,22401131,3,3
4,22401131,2,3
5,22401131,3,3
6,22401131,4,3
7,22401131,2,5
8,22401131,0,2
9,22401131,2,2
10,22401131,3,2
11,22401131,0,2
12,22401131,0,3
13,22401131,2,0
14,22401131,3,0
15,22401131,4,2
16,22401131,3,4
17,22401131,4,0
18,22401131,5,2
19,22401131,2,2
20,22401131,2,5
21,22401131,5,3
22,22401131,0,4
23,22401131,0,0
24,22401131,5,5
25,22401131,4,0
26,22401131,2,4
27,22401131,3,3
28,22401131,2,3
29,22401131,0,4
30,22401131,4,3
31,22401131,2,3
32,22401131,0,2
33,22401131,2,3
34,22401131,2,2
35,22401131,0,4
36,22401131,3,0
37,22401131,2,2
38,22401131,5,2
39,22401131,4,0
40,22401131,0,2
41,22401131,4,1
42,22401131,0,0
43,22401131,0,5
44,22401131,0,2
45,22401131,4,5
46,22401131,5,0
47,22401131,4,2
48,22401131,2,2
49,22401131,0,0
50,22401131,2,4
51,22401131,2,0
52,22401131,2,0
53,22401131,4,0
1,22401152,0,3
2,22401152,0,2
3,22401152,2,3
4,22401152,2,2
5,22401152,5,2
6,22401152,4,0
7,22401152,0,5
8,22401152,0,2
9,22401152,0,2
10,22401152,4,5
11,22401152,4,0
12,22401152,2,2
13,22401152,0,2
14,22401152,3,0
15,22401152,3,2
16,22401152,5,4
17,22401152,2,3
18,22401152,0,5
19,22401152,0,2
20,22401152,0,0
21,22401152,2,4
22,22401152,2,0
23,22401152,3,4
24,22401152,2,2
25,22401152,2,2
26,22401152,4,2
27,22401152,0,4
28,22401152,3,2
29,22401152,4,0
30,22401152,0,0
31,22401152,2,2
32,22401152,0,6
33,22401152,2,3
34,22401152,5,5
35,22401152,3,2
36,22401152,0,6
37,22401152,0,0
38,22401152,1,5
39,22401152,8,0
40,22401152,2,0
41,22401152,3,0
42,22401152,5,0
43,22401152,5,0
44,22401152,0,2
45,22401152,5,1
46,22401152,4,0
47,22401152,4,5
48,22401152,3,0
1,22401161,2,0
2,22401161,0,3
3,22401161,2,5
4,22401161,3,2
5,22401161,1,2
6,22401161,3,4
7,22401161,2,3
8,22401161,2,0
9,22401161,0,2
10,22401161,0,2
11,22401161,2,3
12,22401161,4,0
13,22401161,4,5
14,22401161,6,2
15,22401161,2,5
16,22401161,3,3
17,22401161,3,0
18,22401161,3,5
19,22401161,2,0
20,22401161,3,0
21,22401161,2,4
22,22401161,6,0
23,22401161,5,0
24,22401161,2,4
25,22401161,2,3
26,22401161,1,2
27,22401161,0,2
28,22401161,5,5
29,22401161,6,0
30,22401161,0,5
31,22401161,4,2
32,22401161,7,5
33,22401161,2,2
34,22401161,7,1
35,22401161,2,1
36,22401161,2,3
37,22401161,5,0
38,22401161,3,0
39,22401161,0,3
40,22401161,6,0
41,22401161,2,4
42,22401161,1,2
43,22401161,3,5
44,22401161,5,3
45,22401161,2,2
46,22401161,0,0
47,22401161,7,2
48,22401161,2,5
1,22401171,0,2
2,22401171,2,2
3,22401171,4,2
4,22401171,0,4
5,22401171,5,3
6,22401171,6,2
7,22401171,2,5
