minute_bin,GAME_ID,pts_scored,pts_received
1,42400302,2,2
2,42400302,0,2
3,42400302,1,4
4,42400302,3,3
5,42400302,0,3
6,42400302,3,2
7,42400302,2,3
8,42400302,3,0
9,42400302,3,0
10,42400302,2,3
11,42400302,2,0
12,42400302,5,2
13,42400302,0,2
14,42400302,0,2
15,42400302,5,3
16,42400302,2,2
17,42400302,5,0
18,42400302,2,5
19,42400302,0,0
20,42400302,2,3
21,42400302,2,2
22,42400302,2,2
23,42400302,4,2
24,42400302,2,2
25,42400302,0,3
26,42400302,2,2
27,42400302,3,3
28,42400302,0,5
29,42400302,2,0
30,42400302,2,2
31,42400302,3,5
32,42400302,6,1
33,42400302,2,2
34,42400302,5,2
35,42400302,2,4
36,42400302,2,3
37,42400302,2,2
38,42400302,2,5
39,42400302,0,6
40,42400302,4,0
41,42400302,3,3
42,42400302,2,1
43,42400302,1,2
44,42400302,4,3
45,42400302,1,5
46,42400302,2,2
47,42400302,5,0
48,42400302,2,4
1,42400303,2,0
2,42400303,0,2
3,42400303,2,0
4,42400303,2,2
5,42400303,5,2
6,42400303,0,2
7,42400303,4,2
8,42400303,0,6
9,42400303,3,4
10,42400303,4,0
11,42400303,2,4
12,42400303,2,6
13,42400303,2,0
14,42400303,2,4
15,42400303,0,4
16,42400303,2,2
17,42400303,3,2
18,42400303,0,0
19,42400303,0,4
20,42400303,0,2
21,42400303,2,7
22,42400303,0,1
23,42400303,5,2
24,42400303,3,0
25,42400303,2,2
26,42400303,3,2
27,42400303,2,0
28,42400303,0,6
29,42400303,3,0
30,42400303,2,2
31,42400303,2,2
32,42400303,2,4
33,42400303,2,2
34,42400303,2,0
35,42400303,2,0
36,42400303,3,2
37,42400303,3,2
38,42400303,6,0
39,42400303,2,2
40,42400303,6,1
41,42400303,2,3
42,42400303,0,2
43,42400303,5,0
44,42400303,2,2
45,42400303,0,2
46,42400303,2,2
47,42400303,2,2
48,42400303,6,2
1,42400304,5,3
2,42400304,2,5
3,42400304,0,3
4,42400304,4,5
5,42400304,2,2
6,42400304,8,3
7,42400304,3,4
8,42400304,3,6
9,42400304,3,3
10,42400304,2,3
11,42400304,0,4
12,42400304,3,2
13,42400304,0,2
14,42400304,5,2
15,42400304,4,2
16,42400304,2,2
17,42400304,5,0
18,42400304,0,0
19,42400304,1,3
20,42400304,4,2
21,42400304,0,4
22,42400304,5,3
23,42400304,3,2
24,42400304,0,4
25,42400304,0,4
26,42400304,0,0
27,42400304,2,5
28,42400304,4,0
29,42400304,2,4
30,42400304,3,0
31,42400304,3,3
32,42400304,4,4
33,42400304,2,2
34,42400304,1,2
35,42400304,4,3
36,42400304,2,6
37,42400304,2,2
38,42400304,3,4
39,42400304,3,3
40,42400304,0,0
41,42400304,1,2
42,42400304,2,2
43,42400304,5,0
44,42400304,2,3
45,42400304,5,2
46,42400304,0,1
47,42400304,2,2
48,42400304,5,7
1,42400305,4,0
2,42400305,2,3
3,42400305,4,2
4,42400305,0,3
5,42400305,2,1
6,42400305,0,2
7,42400305,8,2
8,42400305,3,2
9,42400305,2,3
10,42400305,2,0
11,42400305,0,2
12,42400305,0,3
13,42400305,2,0
14,42400305,3,2
15,42400305,0,4
16,42400305,5,3
17,42400305,3,0
18,42400305,3,2
19,42400305,5,0
20,42400305,2,2
21,42400305,0,0
22,42400305,2,3
23,42400305,2,6
24,42400305,2,0
25,42400305,0,0
26,42400305,5,3
27,42400305,3,2
28,42400305,2,0
29,42400305,2,2
30,42400305,4,3
31,42400305,0,2
32,42400305,2,7
33,42400305,4,0
34,42400305,8,0
35,42400305,0,4
36,42400305,4,5
37,42400305,5,4
38,42400305,0,2
39,42400305,1,2
40,42400305,0,3
41,42400305,2,0
42,42400305,2,0
43,42400305,2,0
44,42400305,2,4
45,42400305,0,2
46,42400305,4,0
47,42400305,0,0
48,42400305,3,4
1,42400306,4,2
2,42400306,0,2
3,42400306,5,0
4,42400306,0,6
5,42400306,2,5
6,42400306,0,0
7,42400306,4,2
8,42400306,2,3
9,42400306,3,0
10,42400306,2,0
11,42400306,0,5
12,42400306,2,0
13,42400306,3,4
14,42400306,2,4
15,42400306,4,0
16,42400306,0,3
17,42400306,2,3
18,42400306,2,1
19,42400306,4,1
20,42400306,1,4
21,42400306,2,2
22,42400306,4,4
23,42400306,2,2
24,42400306,4,5
25,42400306,0,3
26,42400306,0,6
27,42400306,4,2
28,42400306,3,3
29,42400306,2,3
30,42400306,5,3
31,42400306,3,0
32,42400306,0,4
33,42400306,0,3
34,42400306,2,2
35,42400306,2,0
36,42400306,2,5
37,42400306,4,0
38,42400306,2,0
39,42400306,1,2
40,42400306,2,4
41,42400306,2,4
42,42400306,4,4
43,42400306,2,4
44,42400306,3,3
45,42400306,2,3
46,42400306,0,2
47,42400306,6,4
48,42400306,3,3
