minute_bin,GAME_ID,pts_scored,pts_received
1,22401063,0,2
2,22401063,2,3
3,22401063,3,4
4,22401063,2,7
5,22401063,2,0
6,22401063,2,0
7,22401063,0,3
8,22401063,0,2
9,22401063,4,3
10,22401063,2,2
11,22401063,2,4
12,22401063,3,2
13,22401063,4,2
14,22401063,3,2
15,22401063,5,2
16,22401063,2,0
17,22401063,2,7
18,22401063,4,3
19,22401063,0,0
20,22401063,4,0
21,22401063,2,3
22,22401063,0,4
23,22401063,2,1
24,22401063,9,2
25,22401063,0,0
26,22401063,5,1
27,22401063,4,3
28,22401063,2,0
29,22401063,2,3
30,22401063,3,0
31,22401063,0,2
32,22401063,2,0
33,22401063,3,3
34,22401063,2,0
35,22401063,3,2
36,22401063,6,3
37,22401063,2,1
38,22401063,3,2
39,22401063,1,6
40,22401063,0,2
41,22401063,2,6
42,22401063,3,0
43,22401063,3,3
44,22401063,0,2
45,22401063,0,3
46,22401063,2,3
47,22401063,4,4
48,22401063,6,12
1,22401078,2,2
2,22401078,2,2
3,22401078,3,0
4,22401078,2,4
5,22401078,6,3
6,22401078,3,2
7,22401078,3,2
8,22401078,3,6
9,22401078,2,2
10,22401078,5,0
11,22401078,5,5
12,22401078,3,0
13,22401078,3,2
14,22401078,3,0
15,22401078,5,2
16,22401078,3,2
17,22401078,4,7
18,22401078,0,5
19,22401078,0,5
20,22401078,4,0
21,22401078,3,0
22,22401078,2,3
23,22401078,0,2
24,22401078,6,5
25,22401078,0,5
26,22401078,4,6
27,22401078,0,2
28,22401078,3,3
29,22401078,5,2
30,22401078,0,1
31,22401078,6,2
32,22401078,3,4
33,22401078,2,2
34,22401078,3,3
35,22401078,3,2
36,22401078,1,6
37,22401078,0,2
38,22401078,2,4
39,22401078,3,4
40,22401078,2,2
41,22401078,4,0
42,22401078,2,2
43,22401078,3,0
44,22401078,2,2
45,22401078,2,3
46,22401078,2,2
47,22401078,5,2
48,22401078,5,5
1,22401096,0,4
2,22401096,3,3
3,22401096,0,2
4,22401096,2,0
5,22401096,0,0
6,22401096,5,0
7,22401096,2,0
8,22401096,0,2
9,22401096,1,0
10,22401096,0,0
11,22401096,3,5
12,22401096,0,3
13,22401096,0,5
14,22401096,5,2
15,22401096,4,3
16,22401096,2,2
17,22401096,0,0
18,22401096,2,2
19,22401096,3,2
20,22401096,0,2
21,22401096,3,4
22,22401096,6,2
23,22401096,6,3
24,22401096,1,2
25,22401096,3,2
26,22401096,3,5
27,22401096,0,3
28,22401096,5,5
29,22401096,4,2
30,22401096,3,0
31,22401096,0,2
32,22401096,3,0
33,22401096,3,0
34,22401096,3,2
35,22401096,2,4
36,22401096,5,4
37,22401096,4,2
38,22401096,0,2
39,22401096,3,3
40,22401096,2,3
41,22401096,2,0
42,22401096,0,2
43,22401096,3,2
44,22401096,0,0
45,22401096,0,2
46,22401096,4,2
47,22401096,0,2
48,22401096,4,1
1,22401117,3,3
2,22401117,5,3
3,22401117,4,6
4,22401117,2,0
5,22401117,3,0
6,22401117,0,2
7,22401117,3,2
8,22401117,0,4
9,22401117,2,0
10,22401117,0,4
11,22401117,0,0
12,22401117,0,2
13,22401117,0,0
14,22401117,0,0
15,22401117,2,2
16,22401117,3,3
17,22401117,0,4
18,22401117,2,5
19,22401117,3,0
20,22401117,5,3
21,22401117,0,4
22,22401117,0,5
23,22401117,5,3
24,22401117,5,5
25,22401117,3,0
26,22401117,3,3
27,22401117,2,3
28,22401117,1,2
29,22401117,4,0
30,22401117,4,5
31,22401117,0,0
32,22401117,2,2
33,22401117,5,6
34,22401117,2,2
35,22401117,2,2
36,22401117,2,3
37,22401117,3,0
38,22401117,0,5
39,22401117,4,3
40,22401117,3,4
41,22401117,2,3
42,22401117,6,2
43,22401117,3,0
44,22401117,2,2
45,22401117,4,4
46,22401117,0,3
47,22401117,6,5
48,22401117,6,4
1,22401126,3,0
2,22401126,0,2
3,22401126,2,0
4,22401126,5,3
5,22401126,0,5
6,22401126,5,5
7,22401126,0,0
8,22401126,0,0
9,22401126,2,5
10,22401126,2,6
11,22401126,6,0
12,22401126,0,4
13,22401126,2,4
14,22401126,4,3
15,22401126,6,2
16,22401126,2,3
17,22401126,4,2
18,22401126,4,0
19,22401126,2,0
20,22401126,2,0
21,22401126,0,3
22,22401126,7,1
23,22401126,3,2
24,22401126,1,3
25,22401126,0,2
26,22401126,2,3
27,22401126,3,2
28,22401126,2,5
29,22401126,5,3
30,22401126,0,3
31,22401126,6,5
32,22401126,5,0
33,22401126,2,1
34,22401126,3,2
35,22401126,0,3
36,22401126,3,2
37,22401126,0,2
38,22401126,4,0
39,22401126,2,5
40,22401126,5,2
41,22401126,0,2
42,22401126,4,0
43,22401126,2,4
44,22401126,4,0
45,22401126,3,1
46,22401126,5,5
47,22401126,0,3
48,22401126,2,0
1,22401135,2,2
2,22401135,1,4
3,22401135,5,3
4,22401135,2,4
5,22401135,6,2
6,22401135,6,5
7,22401135,2,0
8,22401135,3,3
9,22401135,2,0
10,22401135,2,2
11,22401135,6,2
12,22401135,5,5
13,22401135,5,0
14,22401135,2,3
15,22401135,6,0
16,22401135,0,2
17,22401135,0,5
18,22401135,6,0
19,22401135,3,0
20,22401135,4,2
21,22401135,2,0
22,22401135,6,3
23,22401135,0,5
24,22401135,2,4
25,22401135,1,0
26,22401135,0,2
27,22401135,2,3
28,22401135,2,4
29,22401135,2,2
30,22401135,3,0
31,22401135,2,0
32,22401135,3,0
33,22401135,2,0
34,22401135,0,2
35,22401135,0,5
36,22401135,8,3
37,22401135,2,0
38,22401135,0,4
39,22401135,2,2
40,22401135,3,4
41,22401135,1,0
42,22401135,2,0
43,22401135,2,3
44,22401135,0,3
45,22401135,0,2
46,22401135,3,0
47,22401135,5,4
48,22401135,3,0
1,22401153,6,2
2,22401153,1,6
3,22401153,3,4
4,22401153,3,4
5,22401153,0,4
6,22401153,5,6
7,22401153,3,2
8,22401153,5,2
9,22401153,6,6
10,22401153,6,2
11,22401153,2,2
12,22401153,3,3
13,22401153,3,2
14,22401153,3,5
15,22401153,2,2
16,22401153,1,2
17,22401153,0,4
18,22401153,2,6
19,22401153,3,0
20,22401153,3,4
21,22401153,2,3
22,22401153,5,3
23,22401153,0,3
24,22401153,5,3
25,22401153,2,0
26,22401153,0,2
27,22401153,6,2
28,22401153,0,0
29,22401153,2,2
30,22401153,3,0
31,22401153,3,0
32,22401153,2,1
33,22401153,4,3
34,22401153,2,0
35,22401153,0,3
36,22401153,2,4
37,22401153,2,6
38,22401153,4,0
39,22401153,1,4
40,22401153,1,0
41,22401153,4,5
42,22401153,2,5
43,22401153,0,3
44,22401153,3,0
45,22401153,0,7
46,22401153,1,4
47,22401153,2,5
48,22401153,2,0
1,22401159,2,2
2,22401159,2,0
3,22401159,0,5
4,22401159,1,3
5,22401159,4,2
6,22401159,8,5
7,22401159,1,2
8,22401159,3,2
9,22401159,3,0
10,22401159,0,3
11,22401159,2,2
12,22401159,0,4
13,22401159,2,2
14,22401159,4,4
15,22401159,2,2
16,22401159,2,2
17,22401159,6,0
18,22401159,3,3
19,22401159,4,2
20,22401159,0,0
21,22401159,4,2
22,22401159,2,4
23,22401159,0,2
24,22401159,5,4
25,22401159,0,0
26,22401159,0,1
27,22401159,2,2
28,22401159,4,0
29,22401159,7,2
30,22401159,5,3
31,22401159,0,2
32,22401159,0,3
33,22401159,0,2
34,22401159,3,0
35,22401159,2,4
36,22401159,0,0
37,22401159,0,2
38,22401159,0,4
39,22401159,2,5
40,22401159,5,0
41,22401159,4,0
42,22401159,2,6
43,22401159,3,0
44,22401159,4,0
45,22401159,2,0
46,22401159,3,1
47,22401159,2,1
48,22401159,2,2
1,22401185,2,3
2,22401185,5,3
3,22401185,0,7
4,22401185,5,0
5,22401185,2,4
6,22401185,3,3
7,22401185,6,4
8,22401185,3,0
9,22401185,2,3
10,22401185,4,5
11,22401185,3,0
12,22401185,3,0
13,22401185,2,0
14,22401185,5,2
15,22401185,3,1
16,22401185,0,6
17,22401185,6,0
18,22401185,5,3
19,22401185,3,0
20,22401185,3,2
21,22401185,2,3
22,22401185,2,2
23,22401185,2,0
24,22401185,7,5
25,22401185,0,0
26,22401185,0,4
27,22401185,3,6
28,22401185,4,0
29,22401185,0,3
30,22401185,1,3
31,22401185,6,3
32,22401185,2,0
33,22401185,2,2
34,22401185,1,2
35,22401185,6,6
36,22401185,4,2
37,22401185,0,4
38,22401185,2,0
39,22401185,5,3
40,22401185,0,2
41,22401185,5,2
42,22401185,2,3
43,22401185,2,2
44,22401185,5,2
45,22401185,0,0
46,22401185,2,3
47,22401185,6,1
