minute_bin,GAME_ID,pts_scored,pts_received
1,42400234,3,0
2,42400234,2,5
3,42400234,1,1
4,42400234,0,0
5,42400234,3,3
6,42400234,3,2
7,42400234,2,3
8,42400234,2,7
9,42400234,3,0
10,42400234,5,2
11,42400234,2,0
12,42400234,2,4
13,42400234,2,2
14,42400234,0,6
15,42400234,3,3
16,42400234,4,2
17,42400234,2,4
18,42400234,2,0
19,42400234,0,3
20,42400234,5,2
21,42400234,2,3
22,42400234,6,0
23,42400234,2,3
24,42400234,4,3
25,42400234,2,0
26,42400234,2,6
27,42400234,2,2
28,42400234,2,2
29,42400234,0,6
30,42400234,0,3
31,42400234,0,3
32,42400234,0,3
33,42400234,2,2
34,42400234,3,4
35,42400234,2,6
36,42400234,2,2
37,42400234,2,0
38,42400234,2,2
39,42400234,4,2
40,42400234,2,4
41,42400234,0,0
42,42400234,2,3
43,42400234,2,2
44,42400234,2,2
45,42400234,3,0
46,42400234,2,2
47,42400234,7,1
48,42400234,5,2
1,42400235,3,2
2,42400235,0,3
3,42400235,4,3
4,42400235,0,0
5,42400235,0,4
6,42400235,4,5
7,42400235,3,2
8,42400235,2,2
9,42400235,5,2
10,42400235,0,2
11,42400235,2,2
12,42400235,0,3
13,42400235,3,0
14,42400235,2,4
15,42400235,1,4
16,42400235,3,0
17,42400235,2,3
18,42400235,2,0
19,42400235,4,4
20,42400235,2,0
21,42400235,0,6
22,42400235,5,4
23,42400235,0,3
24,42400235,0,4
25,42400235,2,0
26,42400235,3,5
27,42400235,2,3
28,42400235,0,2
29,42400235,3,2
30,42400235,2,0
31,42400235,3,4
32,42400235,1,2
33,42400235,3,2
34,42400235,2,5
35,42400235,0,6
36,42400235,4,0
37,42400235,5,0
38,42400235,0,2
39,42400235,6,2
40,42400235,2,2
41,42400235,5,0
42,42400235,0,5
43,42400235,3,0
44,42400235,4,4
45,42400235,2,6
46,42400235,4,3
47,42400235,5,2
48,42400235,2,2
