SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
42024,1610612749,MIL,Milwaukee Bucks,0042400135,2025-04-29,MIL @ IND,L,265,118,41,90,0.456,19,40,0.475,17,26,0.654,13,40,53,25,9,4,17,23,-1.0
42024,1610612749,MIL,Milwaukee Bucks,0042400134,2025-04-27,MIL vs. IND,L,240,103,37,89,0.416,15,37,0.405,14,17,0.824,9,24,33,25,6,1,7,18,-26.0
42024,1610612749,MIL,Milwaukee Bucks,0042400133,2025-04-25,MIL vs. IND,W,240,117,42,89,0.472,15,41,0.366,18,22,0.818,10,38,48,28,8,4,13,18,16.0
42024,1610612749,MIL,Milwaukee Bucks,0042400132,2025-04-22,MIL @ IND,L,240,115,44,87,0.506,14,35,0.4,13,19,0.684,12,31,43,26,3,6,15,19,-8.0
42024,1610612749,MIL,Milwaukee Bucks,0042400131,2025-04-19,MIL @ IND,L,241,98,35,84,0.417,9,37,0.243,19,28,0.679,8,33,41,15,4,3,10,20,-19.0
22024,1610612749,MIL,Milwaukee Bucks,0022401192,2025-04-13,MIL vs. DET,W,265,140,50,86,0.581,23,44,0.523,17,22,0.773,6,32,38,30,5,7,20,17,7.0
22024,1610612749,MIL,Milwaukee Bucks,0022401171,2025-04-11,MIL @ DET,W,240,125,43,94,0.457,17,39,0.436,22,27,0.815,8,36,44,30,7,8,7,17,6.0
22024,1610612749,MIL,Milwaukee Bucks,0022401161,2025-04-10,MIL vs. NOP,W,239,136,49,90,0.544,18,45,0.4,20,30,0.667,7,36,43,27,13,4,11,17,25.0
22024,1610612749,MIL,Milwaukee Bucks,0022401152,2025-04-08,MIL vs. MIN,W,241,110,40,84,0.476,12,36,0.333,18,25,0.72,11,32,43,27,8,2,11,15,7.0
22024,1610612749,MIL,Milwaukee Bucks,0022400617,2025-04-06,MIL @ NOP,W,240,111,43,92,0.467,11,32,0.344,14,22,0.636,10,41,51,29,10,4,7,14,4.0
22024,1610612749,MIL,Milwaukee Bucks,0022401131,2025-04-05,MIL @ MIA,W,266,121,45,87,0.517,8,24,0.333,23,29,0.793,3,44,47,29,6,3,9,17,6.0
22024,1610612749,MIL,Milwaukee Bucks,0022401115,2025-04-03,MIL @ PHI,W,240,126,46,82,0.561,16,31,0.516,18,27,0.667,8,32,40,32,7,7,11,14,13.0
22024,1610612749,MIL,Milwaukee Bucks,0022401101,2025-04-01,MIL vs. PHX,W,240,133,51,74,0.689,17,29,0.586,14,15,0.933,3,26,29,32,6,5,18,22,10.0
22024,1610612749,MIL,Milwaukee Bucks,0022401083,2025-03-30,MIL vs. ATL,L,241,124,39,82,0.476,12,35,0.343,34,43,0.791,6,30,36,21,5,2,14,24,-21.0
22024,1610612749,MIL,Milwaukee Bucks,0022401070,2025-03-28,MIL vs. NYK,L,242,107,41,75,0.547,13,33,0.394,12,19,0.632,3,29,32,24,2,3,16,14,-9.0
22024,1610612749,MIL,Milwaukee Bucks,0022401057,2025-03-26,MIL @ DEN,L,240,117,46,89,0.517,16,37,0.432,9,13,0.692,8,31,39,30,4,6,11,14,-10.0
22024,1610612749,MIL,Milwaukee Bucks,0022401043,2025-03-24,MIL @ PHX,L,241,106,37,83,0.446,12,39,0.308,20,29,0.69,9,27,36,24,12,0,7,16,-2.0
22024,1610612749,MIL,Milwaukee Bucks,0022401027,2025-03-22,MIL @ SAC,W,241,114,44,84,0.524,13,31,0.419,13,20,0.65,11,31,42,22,6,3,9,17,6.0
22024,1610612749,MIL,Milwaukee Bucks,0022400996,2025-03-20,MIL @ LAL,W,238,118,40,84,0.476,11,35,0.314,27,34,0.794,10,31,41,24,12,4,9,14,29.0
22024,1610612749,MIL,Milwaukee Bucks,0022401012,2025-03-18,MIL @ GSW,L,239,93,31,79,0.392,12,38,0.316,19,27,0.704,4,30,34,19,9,4,9,15,-11.0
22024,1610612749,MIL,Milwaukee Bucks,0022400982,2025-03-16,MIL vs. OKC,L,242,105,33,83,0.398,13,34,0.382,26,33,0.788,9,25,34,21,7,8,9,23,-16.0
22024,1610612749,MIL,Milwaukee Bucks,0022400972,2025-03-15,MIL vs. IND,W,240,126,43,79,0.544,15,37,0.405,25,26,0.962,7,38,45,28,9,4,15,16,7.0
22024,1610612749,MIL,Milwaukee Bucks,0022400955,2025-03-13,MIL vs. LAL,W,239,126,41,86,0.477,17,40,0.425,27,33,0.818,7,41,48,30,9,8,11,21,20.0
22024,1610612749,MIL,Milwaukee Bucks,0022400942,2025-03-11,MIL @ IND,L,241,114,43,84,0.512,14,36,0.389,14,19,0.737,6,38,44,32,4,2,15,19,-1.0
22024,1610612749,MIL,Milwaukee Bucks,0022400922,2025-03-09,MIL vs. CLE,L,241,100,39,91,0.429,9,31,0.29,13,18,0.722,15,35,50,17,9,2,18,15,-12.0
22024,1610612749,MIL,Milwaukee Bucks,0022400917,2025-03-08,MIL vs. ORL,L,241,109,41,75,0.547,11,23,0.478,16,23,0.696,4,34,38,17,8,4,12,18,-2.0
22024,1610612749,MIL,Milwaukee Bucks,0022400897,2025-03-05,MIL vs. DAL,W,241,137,52,89,0.584,16,35,0.457,17,19,0.895,8,47,55,29,6,4,17,9,30.0
22024,1610612749,MIL,Milwaukee Bucks,0022400884,2025-03-04,MIL @ ATL,W,240,127,49,96,0.51,11,37,0.297,18,23,0.783,9,42,51,27,8,1,14,13,6.0
22024,1610612749,MIL,Milwaukee Bucks,0022400865,2025-03-01,MIL @ DAL,W,240,132,44,87,0.506,13,39,0.333,31,35,0.886,14,38,52,33,6,6,13,19,15.0
22024,1610612749,MIL,Milwaukee Bucks,0022400846,2025-02-27,MIL vs. DEN,W,240,121,42,90,0.467,14,34,0.412,23,28,0.821,7,41,48,25,8,4,11,11,9.0
22024,1610612749,MIL,Milwaukee Bucks,0022400831,2025-02-25,MIL @ HOU,L,240,97,34,85,0.4,12,37,0.324,17,23,0.739,4,33,37,19,11,5,13,13,-3.0
22024,1610612749,MIL,Milwaukee Bucks,0022400817,2025-02-23,MIL vs. MIA,W,241,120,44,86,0.512,14,39,0.359,18,22,0.818,8,32,40,25,4,3,9,23,7.0
22024,1610612749,MIL,Milwaukee Bucks,0022400799,2025-02-21,MIL @ WAS,W,239,104,39,82,0.476,9,32,0.281,17,26,0.654,8,36,44,24,11,6,16,24,3.0
22024,1610612749,MIL,Milwaukee Bucks,0022400793,2025-02-20,MIL vs. LAC,W,240,116,38,80,0.475,17,43,0.395,23,27,0.852,8,33,41,22,5,5,17,18,6.0
22024,1610612749,MIL,Milwaukee Bucks,0022400776,2025-02-12,MIL @ MIN,W,240,103,39,88,0.443,12,30,0.4,13,16,0.813,6,42,48,24,7,1,12,15,2.0
22024,1610612749,MIL,Milwaukee Bucks,0022400760,2025-02-10,MIL vs. GSW,L,240,111,38,76,0.5,10,33,0.303,25,34,0.735,5,32,37,18,5,4,20,25,-14.0
22024,1610612749,MIL,Milwaukee Bucks,0022400754,2025-02-09,MIL vs. PHI,W,240,135,46,105,0.438,24,55,0.436,19,20,0.95,19,34,53,29,7,3,12,18,8.0
22024,1610612749,MIL,Milwaukee Bucks,0022400736,2025-02-07,MIL @ ATL,L,242,110,41,96,0.427,19,50,0.38,9,10,0.9,7,36,43,28,5,3,10,17,-5.0
22024,1610612749,MIL,Milwaukee Bucks,0022400717,2025-02-05,MIL @ CHA,W,240,112,41,81,0.506,18,42,0.429,12,13,0.923,6,38,44,26,6,4,9,16,10.0
22024,1610612749,MIL,Milwaukee Bucks,0022400705,2025-02-03,MIL @ OKC,L,239,96,35,93,0.376,13,39,0.333,13,21,0.619,9,28,37,24,12,3,14,12,-29.0
22024,1610612749,MIL,Milwaukee Bucks,0022400699,2025-02-02,MIL vs. MEM,L,240,119,44,91,0.484,20,45,0.444,11,19,0.579,8,28,36,32,7,5,13,21,-13.0
