SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
42024,1610612752,NYK,New York Knicks,0042400306,2025-05-31,NYK @ IND,L,240,108,41,86,0.477,9,32,0.281,17,26,0.654,13,28,41,23,10,6,17,16,-17.0
42024,1610612752,NYK,New York Knicks,0042400305,2025-05-29,NYK vs. IND,W,241,111,44,89,0.494,8,29,0.276,15,22,0.682,11,34,45,22,11,3,15,22,17.0
42024,1610612752,NYK,New York Knicks,0042400304,2025-05-27,NYK @ IND,L,240,121,38,82,0.463,12,28,0.429,33,39,0.846,13,31,44,17,7,4,17,27,-9.0
42024,1610612752,NYK,New York Knicks,0042400303,2025-05-25,NYK @ IND,W,240,106,34,78,0.436,11,32,0.344,27,30,0.9,9,28,37,13,7,4,14,25,6.0
42024,1610612752,NYK,New York Knicks,0042400302,2025-05-23,NYK vs. IND,L,240,109,40,84,0.476,11,32,0.344,18,21,0.857,10,28,38,18,6,4,12,19,-5.0
42024,1610612752,NYK,New York Knicks,0042400301,2025-05-21,NYK vs. IND,L,265,135,48,94,0.511,11,34,0.324,28,40,0.7,13,33,46,24,7,8,15,23,-3.0
42024,1610612752,NYK,New York Knicks,0042400216,2025-05-16,NYK vs. BOS,W,240,119,42,91,0.462,16,45,0.356,19,21,0.905,15,40,55,25,7,6,14,23,38.0
42024,1610612752,NYK,New York Knicks,0042400215,2025-05-14,NYK @ BOS,L,243,102,29,81,0.358,12,30,0.4,32,40,0.8,12,28,40,17,5,4,10,20,-25.0
42024,1610612752,NYK,New York Knicks,0042400214,2025-05-12,NYK vs. BOS,W,240,121,50,92,0.543,12,34,0.353,9,12,0.75,13,30,43,25,5,2,12,20,8.0
42024,1610612752,NYK,New York Knicks,0042400213,2025-05-10,NYK vs. BOS,L,240,93,32,80,0.4,5,25,0.2,24,35,0.686,17,26,43,16,3,2,11,16,-22.0
42024,1610612752,NYK,New York Knicks,0042400212,2025-05-07,NYK @ BOS,W,240,91,37,86,0.43,9,31,0.29,8,10,0.8,10,36,46,19,11,5,15,16,1.0
42024,1610612752,NYK,New York Knicks,0042400211,2025-05-05,NYK @ BOS,W,265,108,37,87,0.425,17,37,0.459,17,31,0.548,12,37,49,19,10,2,12,19,3.0
42024,1610612752,NYK,New York Knicks,0042400126,2025-05-01,NYK @ DET,W,238,116,41,86,0.477,10,30,0.333,24,30,0.8,13,30,43,18,6,4,16,22,3.0
