SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,AVAILABLE_FLAG
2014-15,1610612744,GSW,Golden State Warriors,0021401229,2015-04-15T00:00:00,GSW vs. DEN,W,48.0,47,90,0.522,13,28,0.464,26,34,0.765,14,27,41,30,13.0,11,6,4,25,25,133,7.0,1,1,1,1,3,9,27,17,12,27,17,3,2,47,15,77,60,20,27,17,34,44,73,5,2,50,1.0
2014-15,1610612744,GSW,Golden State Warriors,0021401212,2015-04-13T00:00:00,GSW vs. MEM,W,48.0,39,74,0.527,13,24,0.542,20,27,0.741,6,33,39,30,21.0,9,7,4,22,22,111,4.0,1,1,1,1,3,55,78,13,12,59,3,19,11,54,71,50,67,20,76,37,25,44,57,14,35,61,1.0
2014-15,1610612744,GSW,Golden State Warriors,0021401192,2015-04-11T00:00:00,GSW vs. MIN,W,48.0,42,93,0.452,11,31,0.355,15,21,0.714,13,37,50,28,12.0,10,5,4,19,22,110,9.0,1,1,1,1,3,34,13,59,37,14,56,43,34,61,21,23,14,38,19,29,47,44,31,14,38,46,1.0
2014-15,1610612744,GSW,Golden State Warriors,0021401174,2015-04-09T00:00:00,GSW vs. POR,W,48.0,48,90,0.533,12,26,0.462,8,9,0.889,9,35,44,27,14.0,6,5,5,12,12,116,11.0,1,1,1,1,3,6,27,11,22,45,20,76,81,11,47,34,43,46,38,67,47,63,3,80,20,40,1.0
2014-15,1610612744,GSW,Golden State Warriors,0021401156,2015-04-07T00:00:00,GSW @ NOP,L,48.0,42,95,0.442,9,22,0.409,7,10,0.7,11,39,50,25,12.0,6,12,8,21,13,100,-3.0,1,68,68,68,3,34,6,66,53,70,41,78,78,63,31,11,14,57,19,67,1,77,48,77,66,70,1.0
2014-15,1610612744,GSW,Golden State Warriors,0021401150,2015-04-05T00:00:00,GSW @ SAS,L,48.0,39,91,0.429,9,28,0.321,5,10,0.5,10,29,39,25,11.0,4,2,4,13,13,92,-15.0,1,68,68,68,3,55,20,70,53,27,65,82,78,80,36,72,67,57,12,79,76,44,4,77,79,82,1.0
2014-15,1610612744,GSW,Golden State Warriors,0021401142,2015-04-04T00:00:00,GSW @ DAL,W,48.0,43,95,0.453,14,36,0.389,23,32,0.719,17,38,55,28,14.0,12,4,2,37,23,123,13.0,1,1,1,1,3,29,6,58,8,3,46,6,6,59,4,17,3,38,38,14,65,13,82,9,13,34,1.0
2014-15,1610612744,GSW,Golden State Warriors,0021401126,2015-04-02T00:00:00,GSW vs. PHX,W,48.0,43,93,0.462,10,26,0.385,11,17,0.647,15,35,50,29,13.0,6,5,3,20,16,107,1.0,1,1,1,1,3,29,13,51,47,45,48,65,59,70,8,34,14,29,27,67,47,30,41,61,45,66,1.0
2014-15,1610612744,GSW,Golden State Warriors,0021401111,2015-03-31T00:00:00,GSW @ LAC,W,48.0,38,85,0.447,8,21,0.381,26,34,0.765,10,33,43,28,9.0,6,1,8,20,24,110,4.0,1,1,1,1,3,64,50,62,63,75,49,3,2,47,36,50,50,38,2,67,81,77,41,7,38,61,1.0
2014-15,1610612744,GSW,Golden State Warriors,0021401089,2015-03-28T00:00:00,GSW @ MIL,W,48.0,42,82,0.512,12,25,0.48,12,14,0.857,7,38,45,27,22.0,7,8,5,23,20,108,13.0,1,1,1,1,3,34,62,20,22,53,12,61,70,17,63,17,36,46,77,56,11,63,63,24,42,34,1.0
2014-15,1610612744,GSW,Golden State Warriors,0021401082,2015-03-27T00:00:00,GSW @ MEM,W,48.0,39,90,0.433,16,31,0.516,13,17,0.765,14,29,43,28,14.0,15,5,2,17,18,107,23.0,1,1,1,1,3,55,27,68,5,14,7,57,59,47,15,72,50,38,38,5,47,13,19,47,45,12,1.0
2014-15,1610612744,GSW,Golden State Warriors,0021401059,2015-03-24T00:00:00,GSW @ POR,W,48.0,50,83,0.602,12,26,0.462,10,11,0.909,6,40,46,37,14.0,4,5,2,18,14,122,14.0,1,1,1,1,3,1,58,1,22,45,20,72,77,9,71,5,30,3,38,79,47,13,22,72,14,31,1.0
2014-15,1610612744,GSW,Golden State Warriors,0021401053,2015-03-23T00:00:00,GSW vs. WAS,W,48.0,39,95,0.411,13,33,0.394,16,21,0.762,19,43,62,23,11.0,9,6,2,14,15,107,31.0,1,1,1,1,3,55,6,78,12,8,44,37,34,50,1,3,1,65,12,37,34,13,5,68,45,3,1.0
2014-15,1610612744,GSW,Golden State Warriors,0021401036,2015-03-21T00:00:00,GSW vs. UTA,W,48.0,38,78,0.487,8,18,0.444,22,26,0.846,7,30,37,25,12.0,11,3,2,17,19,106,15.0,1,1,1,1,3,64,75,36,63,82,30,8,16,22,63,62,74,57,19,17,70,13,19,33,49,26,1.0
